





# nccl-tests version 2.19.6 nccl-headers=22803 nccl-library=22803
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 8 maxBytes 1048576 step: 2(factor) warmup iters: 5 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid    165 on Node-A device  0 [000f:01:00] NVIDIA GB10
#  Rank  1 Group  0 Pid    124 on Node-B device  0 [000f:01:00] NVIDIA GB10
NCCL version 2.28.3+cuda13.0
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    23.07    0.00    0.00       0    26.17    0.00    0.00       0
          16             4     float     sum      -1    25.67    0.00    0.00       0    25.91    0.00    0.00       0
          32             8     float     sum      -1    22.41    0.00    0.00       0    21.98    0.00    0.00       0
          64            16     float     sum      -1    22.86    0.00    0.00       0    22.53    0.00    0.00       0
         128            32     float     sum      -1    22.58    0.01    0.01       0    27.00    0.00    0.00       0
         256            64     float     sum      -1    24.55    0.01    0.01       0    22.13    0.01    0.01       0
         512           128     float     sum      -1    22.94    0.02    0.02       0    24.62    0.02    0.02       0
        1024           256     float     sum      -1    24.92    0.04    0.04       0    22.77    0.04    0.04       0
        2048           512     float     sum      -1    24.35    0.08    0.08       0    23.39    0.09    0.09       0
        4096          1024     float     sum      -1    24.27    0.17    0.17       0    24.57    0.17    0.17       0
        8192          2048     float     sum      -1    28.86    0.28    0.28       0    28.00    0.29    0.29       0
       16384          4096     float     sum      -1    28.87    0.57    0.57       0    28.07    0.58    0.58       0
       32768          8192     float     sum      -1    39.01    0.84    0.84       0    37.35    0.88    0.88       0
       65536         16384     float     sum      -1    65.30    1.00    1.00       0    62.19    1.05    1.05       0
      131072         32768     float     sum      -1   145.85    0.90    0.90       0   134.33    0.98    0.98       0
      262144         65536     float     sum      -1   162.90    1.61    1.61       0   163.71    1.60    1.60       0
      524288        131072     float     sum      -1   208.72    2.51    2.51       0   205.00    2.56    2.56       0
     1048576        262144     float     sum      -1   322.68    3.25    3.25       0   332.95    3.15    3.15       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 0.631517 
#
# Collective test concluded: all_reduce_perf
#
