





# nccl-tests version 2.19.6 nccl-headers=22803 nccl-library=22803
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 536870912 step: 2(factor) warmup iters: 5 iters: 40 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid    144 on Node-A device  0 [000f:01:00] NVIDIA GB10
#  Rank  1 Group  0 Pid    100 on Node-B device  0 [000f:01:00] NVIDIA GB10
NCCL version 2.28.3+cuda13.0
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
     1048576        262144     float     sum      -1   382.03    2.74    2.74       0   346.25    3.03    3.03       0
     2097152        524288     float     sum      -1   530.95    3.95    3.95       0   536.95    3.91    3.91       0
     4194304       1048576     float     sum      -1   907.91    4.62    4.62       0   899.66    4.66    4.66       0
     8388608       2097152     float     sum      -1   448.91   18.69   18.69       0   443.77   18.90   18.90       0
    16777216       4194304     float     sum      -1   852.89   19.67   19.67       0   849.92   19.74   19.74       0
    33554432       8388608     float     sum      -1  1724.33   19.46   19.46       0  1767.04   18.99   18.99       0
    67108864      16777216     float     sum      -1  3906.88   17.18   17.18       0  3923.01   17.11   17.11       0
   134217728      33554432     float     sum      -1  7661.58   17.52   17.52       0  7631.08   17.59   17.59       0
   268435456      67108864     float     sum      -1  14450.1   18.58   18.58       0  14474.3   18.55   18.55       0
   536870912     134217728     float     sum      -1  26156.9   20.52   20.52       0  26090.8   20.58   20.58       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 14.2987 
#
# Collective test concluded: all_reduce_perf
#
