





# nccl-tests version 2.19.6 nccl-headers=22803 nccl-library=22803
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 8 maxBytes 536870912 step: 2(factor) warmup iters: 5 iters: 40 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid    125 on Node-A device  0 [000f:01:00] NVIDIA GB10
#  Rank  1 Group  0 Pid     77 on Node-B device  0 [000f:01:00] NVIDIA GB10
NCCL version 2.28.3+cuda13.0
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    28.01    0.00    0.00       0    24.44    0.00    0.00       0
          16             4     float     sum      -1    23.27    0.00    0.00       0    52.00    0.00    0.00       0
          32             8     float     sum      -1    27.22    0.00    0.00       0    27.97    0.00    0.00       0
          64            16     float     sum      -1    22.84    0.00    0.00       0    22.45    0.00    0.00       0
         128            32     float     sum      -1    24.81    0.01    0.01       0    25.65    0.00    0.00       0
         256            64     float     sum      -1    27.22    0.01    0.01       0    26.98    0.01    0.01       0
         512           128     float     sum      -1    27.80    0.02    0.02       0    27.60    0.02    0.02       0
        1024           256     float     sum      -1    28.33    0.04    0.04       0    28.12    0.04    0.04       0
        2048           512     float     sum      -1    28.72    0.07    0.07       0    24.02    0.09    0.09       0
        4096          1024     float     sum      -1    25.88    0.16    0.16       0    27.01    0.15    0.15       0
        8192          2048     float     sum      -1    27.99    0.29    0.29       0    26.20    0.31    0.31       0
       16384          4096     float     sum      -1    34.23    0.48    0.48       0    31.34    0.52    0.52       0
       32768          8192     float     sum      -1    44.08    0.74    0.74       0    41.26    0.79    0.79       0
       65536         16384     float     sum      -1    68.41    0.96    0.96       0    67.47    0.97    0.97       0
      131072         32768     float     sum      -1    73.96    1.77    1.77       0    77.70    1.69    1.69       0
      262144         65536     float     sum      -1    78.90    3.32    3.32       0    78.03    3.36    3.36       0
      524288        131072     float     sum      -1   142.80    3.67    3.67       0   137.81    3.80    3.80       0
     1048576        262144     float     sum      -1   218.22    4.81    4.81       0   219.45    4.78    4.78       0
     2097152        524288     float     sum      -1   374.53    5.60    5.60       0   379.44    5.53    5.53       0
     4194304       1048576     float     sum      -1   352.73   11.89   11.89       0   354.29   11.84   11.84       0
     8388608       2097152     float     sum      -1   670.11   12.52   12.52       0   699.58   11.99   11.99       0
    16777216       4194304     float     sum      -1  1307.09   12.84   12.84       0  1307.63   12.83   12.83       0
    33554432       8388608     float     sum      -1  2628.26   12.77   12.77       0  2633.43   12.74   12.74       0
    67108864      16777216     float     sum      -1  5174.30   12.97   12.97       0  5092.60   13.18   13.18       0
   134217728      33554432     float     sum      -1  9855.90   13.62   13.62       0  9840.49   13.64   13.64       0
   268435456      67108864     float     sum      -1  19438.1   13.81   13.81       0  19445.4   13.80   13.80       0
   536870912     134217728     float     sum      -1  38659.7   13.89   13.89       0  38657.4   13.89   13.89       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 4.67079 
#
# Collective test concluded: all_reduce_perf
#
